Date,Open,High,Low,Close
2022/5/22,1975.06,2056.41,1966.33,2043.19
2022/5/23,2043.19,2088.5,1957.12,1973.32
2022/5/24,1973.33,1993.83,1913.02,1979.41
2022/5/25,1979.4,2022.34,1934.61,1942.63
2022/5/26,1942.64,1966.01,1735,1792.23
2022/5/27,1792.24,1822.26,1703,1727.27
2022/5/28,1727.26,1808.98,1722.26,1792.22
2022/5/29,1792.21,1827.4,1759.96,1813.64
2022/5/30,1813.64,2013,1803.18,1998.78
2022/5/31,1998.78,2016.45,1925,1941.9
2022/6/1,1941.9,1972.58,1763.75,1817.95
2022/6/2,1817.96,1853.05,1782.42,1834.08
2022/6/3,1834.09,1843.91,1737,1775.12
2022/6/4,1775.13,1816,1748.43,1804.58
2022/6/5,1804.58,1830.17,1773.05,1806.23
2022/6/6,1806.22,1920,1804.35,1859.84
2022/6/7,1859.84,1874.98,1725.13,1813.33
2022/6/8,1813.33,1838.77,1765.28,1791.88
2022/6/9,1791.88,1833,1777.33,1788.81
2022/6/10,1788.8,1804.32,1655.93,1662.91
2022/6/11,1662.91,1682.21,1496.74,1532.89
2022/6/12,1532.89,1547,1423,1434.84
2022/6/13,1434.84,1455,1165.45,1209.82
2022/6/14,1209.35,1268.45,1075.8,1208.9
2022/6/15,1208.9,1250,1014.4,1237.52
2022/6/16,1237.53,1257.85,1051.55,1068.5
2022/6/17,1068.5,1118,1051.11,1086.94
2022/6/18,1086.93,1097.58,881.56,995.13
2022/6/19,995.12,1158.62,936.15,1128.53
2022/6/20,1128.53,1170,1053,1128.24
2022/6/21,1128.24,1194,1109.23,1125.85
2022/6/22,1125.86,1127.33,1043.65,1050.19
2022/6/23,1050.19,1155,1045.3,1144.72
2022/6/24,1144.71,1245.43,1132,1225.02
2022/6/25,1225.02,1256.77,1180,1242.36
2022/6/26,1242.31,1280,1194.6,1197.79
2022/6/27,1197.79,1238.93,1172.49,1192.51
2022/6/28,1192.51,1237.99,1136.32,1144.05
2022/6/29,1144.05,1156.8,1087.42,1100.21
2022/6/30,1100.21,1106.62,998,1071.01
2022/7/1,1071.02,1117,1033.44,1059.73
2022/7/2,1059.73,1078.88,1028.29,1067.01
2022/7/3,1067.01,1088.34,1040.78,1074.26
2022/7/4,1074.26,1160.9,1045.37,1151
2022/7/5,1151.01,1174.9,1076.34,1132.5
2022/7/6,1132.51,1205,1111.44,1186.57
2022/7/7,1186.57,1254.29,1163.18,1237.49
2022/7/8,1237.49,1276.46,1193.15,1214.04
2022/7/9,1214.03,1235.4,1204.67,1217.02
2022/7/10,1217.02,1219.95,1153,1168.36
2022/7/11,1168.37,1171.29,1091.71,1096.4
2022/7/12,1096.37,1098.26,1033.46,1038.58
2022/7/13,1038.58,1119.18,1006.32,1115
2022/7/14,1115.01,1214.65,1072.11,1193.42
2022/7/15,1193.42,1287.82,1181.05,1231.25
2022/7/16,1231.25,1422.91,1191.23,1355.85
2022/7/17,1355.84,1387,1319.04,1338.65
2022/7/18,1338.65,1597.47,1336.07,1581.04
2022/7/19,1581.03,1631,1493.11,1542.32
2022/7/20,1542.33,1620.4,1484.23,1521.58
2022/7/21,1521.63,1605.98,1463.56,1575.45
2022/7/22,1575.45,1650.05,1516.11,1535.27
2022/7/23,1535.27,1596.51,1488,1548.67
2022/7/24,1548.66,1664.34,1545.67,1597.7
2022/7/25,1597.7,1609.55,1435.58,1440.79
2022/7/26,1440.79,1454.11,1356.17,1449.12
2022/7/27,1449.12,1644.44,1420.83,1635.74
2022/7/28,1635.74,1784.79,1593.27,1724.52
2022/7/29,1724.52,1765.99,1655.02,1721.68
2022/7/30,1721.68,1744.85,1673.01,1697
2022/7/31,1697,1754.69,1666,1678.12
